"uid","name","email","role","bio","avatar_url","phone","created_at"
"4d7ee944-5d37-49af-96c8-dab6","Nabeel Javed","nabeel.javed19@hotmail.com","user","University student in Rawalpindi looking for affordable Networks tutoring.","https://api.dicebear.com/7.x/avataaars/svg?seed=4d7ee944-5d37-49af-96c8-dab6","030813342608","2026-02-13 11:08:22"
"844fb8a6-7c90-4c42-a3cb-e5af","Rabia Javed","rabia.javed18@yahoo.com","user","Studying Linear Algebra at UCP, want to improve my grades.","https://api.dicebear.com/7.x/avataaars/svg?seed=844fb8a6-7c90-4c42-a3cb-e5af","031719279821","2026-03-25 11:08:22"
"a9bd9bc8-0c61-491b-97a3-5659","Haris Malik","haris.malik81@yahoo.com","admin","","https://api.dicebear.com/7.x/avataaars/svg?seed=a9bd9bc8-0c61-491b-97a3-5659","030518082668","2026-04-01 11:08:22"
"8f1e9f6d-01a0-4525-a6e1-177f","Alina Hashmi","alina.hashmi88@gmail.com","user","BS student at IMSciences. Need help catching up on DBMS.","https://api.dicebear.com/7.x/avataaars/svg?seed=8f1e9f6d-01a0-4525-a6e1-177f","031815476583","2026-01-20 11:08:22"
"657c8ae5-2d76-41fc-bf97-c731","Faizan Nawaz","faizan.nawaz59@yahoo.com","tutor","","https://api.dicebear.com/7.x/avataaars/svg?seed=657c8ae5-2d76-41fc-bf97-c731","030015418934","2025-12-10 11:08:22"
"d1a7bb15-14b8-4687-874f-02ce","Raza Bhatti","raza.bhatti48@yahoo.com","user","BS Software Engineering student at IBA. Struggling with OS and need a good tutor.","https://api.dicebear.com/7.x/avataaars/svg?seed=d1a7bb15-14b8-4687-874f-02ce","030519897858","2026-04-17 11:08:22"
"56933ab3-9440-46ea-9fa0-fa76","Nimra Khan","nimra.khan31@gmail.com","user","BS Software Engineering student at Karachi University. Struggling with DBMS and need a good tutor.","https://api.dicebear.com/7.x/avataaars/svg?seed=56933ab3-9440-46ea-9fa0-fa76","031912321324","2026-03-27 11:08:22"
"e17cbcca-3539-4722-9379-c5df","Urooj Ali","urooj.ali17@yahoo.com","tutor","","https://api.dicebear.com/7.x/avataaars/svg?seed=e17cbcca-3539-4722-9379-c5df","031613770370","2026-02-09 11:08:22"
"ea645ef0-8e54-40de-8373-5340","Noor Bhatti","noor.bhatti57@outlook.com","user","Computer Science student at UET interested in learning DBMS properly.","https://api.dicebear.com/7.x/avataaars/svg?seed=ea645ef0-8e54-40de-8373-5340","031718574680","2026-03-18 11:08:22"
"a5fd4e3e-f9bd-4c8c-a939-9d4f","Zain Ali","zain.ali3@outlook.com","tutor","","https://api.dicebear.com/7.x/avataaars/svg?seed=a5fd4e3e-f9bd-4c8c-a939-9d4f","031914860684","2025-11-18 11:08:22"
"2f46c8c7-0461-4443-b17a-2382","Ahmed Ali","ahmed.ali30@gmail.com","tutor","","https://api.dicebear.com/7.x/avataaars/svg?seed=2f46c8c7-0461-4443-b17a-2382","030211527021","2026-01-23 11:08:22"
"f7248afd-1e14-423b-9014-75f3","Raza Butt","raza.butt32@hotmail.com","user","Engineering student at Air University, need guidance in OOP.","https://api.dicebear.com/7.x/avataaars/svg?seed=f7248afd-1e14-423b-9014-75f3","031617829332","2026-02-28 11:08:22"
"f6afd817-855e-4e17-b1f4-8221","Hassan Zaidi","hassan.zaidi94@hotmail.com","user","Studying Linear Algebra at Karachi University, want to improve my grades.","https://api.dicebear.com/7.x/avataaars/svg?seed=f6afd817-855e-4e17-b1f4-8221","030112651177","2026-04-02 11:08:22"
"7cb35ef2-e4c0-4e66-b15e-2c40","Rabia Siddiqui","rabia.siddiqui18@hotmail.com","user","BS Software Engineering student at UET. Struggling with OOP and need a good tutor.","https://api.dicebear.com/7.x/avataaars/svg?seed=7cb35ef2-e4c0-4e66-b15e-2c40","031414078418","2026-02-05 11:08:22"
"ec00e632-29e2-4e31-a3cf-0a73","Mahnoor Aslam","mahnoor.aslam57@gmail.com","tutor","","https://api.dicebear.com/7.x/avataaars/svg?seed=ec00e632-29e2-4e31-a3cf-0a73","031812642635","2026-04-05 11:08:22"
"260ad1c8-387b-482c-9e8e-2f65","Usman Bhatti","usman.bhatti28@hotmail.com","user","Final year student at NUST working on Linear Algebra concepts before exams.","https://api.dicebear.com/7.x/avataaars/svg?seed=260ad1c8-387b-482c-9e8e-2f65","031311983738","2026-03-06 11:08:22"
